Songsname,Pitch_Mean,Pitch_SD,Length,Time_Signature,DB_Value,Tempo,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Camelot
Sakal Duniya Dukkha.mp3,1530.412007,912.5599935,215.0289792,4,-0.229467452,170.4545455,0.004271311,0.181636865,0.11581826,-3.67E-07,2614.89111,-280.22437,-10.983504,-34.801086,3B
Sankare Bole Bani.mp3,1710.082716,454.265103,385.5729792,4,2.493717223,165.4411765,0.000126334,0.202646133,0.24852516,1.41E-06,1714.578785,-154.2541,-2.8118043,-6.5029626,12B
Srigur Hankar.mp3,1883.617876,695.9476743,450.3249792,3,2.601399422,79.22535211,8.32E-05,0.208781297,0.22988029,2.40E-05,2109.31593,-152.76802,1.2147565,-2.547331,8B
Tumi Prabhu.mp3,1918.011573,784.8451295,195.4929792,4,1.107863113,170.4545455,0.02755912,0.205210234,0.30782107,3.54E-06,2716.790297,-140.43399,1.1521348,4.7145324,4B
Xonor Baahi Nalaage.mp3,2764.776646,1096.021658,482.0049792,4,1.864391267,144.2307692,0.001421796,0.22391385,0.20602357,-4.16E-05,3103.184974,-158.19832,0.6592379,-9.728788,3B
Xuna Xuna Bandhu.mp3,1391.020975,411.5625163,413.0289792,3,2.83066988,104.1666667,0.004094311,0.202594901,0.2839539,-2.19E-07,1837.939539,-174.70755,-3.571205,0.524738,6B
PRANITA BAISHYA MEDHI.mp3,2290.532257,1059.637235,1594.092979,4,4.913199246,127.8409091,0.006472369,0.211459467,0.30251607,2.44E-05,2437.764317,-123.14026,1.696887,1.7896478,5B
Zubeen Garg Famous Song.mp3,2828.573062,881.6048031,356.5569792,4,6.249093413,160.7142857,0.005687004,0.245929034,0.32286873,-3.55E-06,2947.003118,-91.89586,3.474936,5.9871035,9B
O Aar Najao Jamunar Jale.mp3,1829.783392,564.7553972,246.8769792,3,4.062948525,112.5,0.001906503,0.235289209,0.2512896,2.87E-05,2456.478303,-153.32672,-0.7884793,-2.0779867,5B
assamese lokageet.mp3,1820.043533,670.3141207,1149.684979,4,4.510069788,144.2307692,0.002718364,0.205637673,0.2477157,1.46E-06,2178.490734,-164.50525,-4.079752,-7.400726,11B
